date,cash,long_value,short_exposure,total_value
2026-06-19,468200,155400,123600,500000
2026-06-22,410400,229400,141200,498600
2026-06-23,410400,229800,137920,502280
2026-06-23,275180,346100,119000,502280
2026-06-24,425110,270400,191330,504180
2026-06-25,425110,271100,192380,503830
2026-06-26,391210,270500,157090,504620
2026-06-29,336870,337000,167380,506490
2026-06-30,239560,482600,209640,512520
2026-07-01,180410,550850,217480,513780
2026-07-02,180410,542810,218070,505150
2026-07-03,157510,569980,210200,517290
2026-07-06,130300,476350,87940,518710
2026-07-07,130300,482140,88310,524130
