datetime,cash,long_value,short_exposure,total_value
2026-07-21 09:00,500000,0,0,500000
2026-07-21 09:10,500000,0,0,500000
2026-07-21 09:20,500000,0,0,500000
2026-07-21 09:30,500000,0,0,500000
2026-07-21 09:40,500000,0,0,500000
2026-07-21 09:50,500000,0,0,500000
2026-07-21 10:00,500000,0,0,500000
2026-07-21 10:10,500000,0,0,500000
2026-07-21 10:20,500000,0,0,500000
2026-07-21 10:30,500000,0,0,500000
2026-07-21 10:40,500000,0,0,500000
2026-07-21 10:50,500000,0,0,500000
2026-07-21 11:00,500000,0,0,500000
2026-07-21 11:10,500000,0,0,500000
2026-07-21 11:20,500000,0,0,500000
2026-07-21 11:30,500000,0,0,500000
2026-07-21 11:40,500000,0,0,500000
2026-07-21 11:50,500000,0,0,500000
2026-07-21 12:00,500000,0,0,500000
2026-07-21 12:10,500000,0,0,500000
2026-07-21 12:20,500000,0,0,500000
2026-07-21 12:30,500000,0,0,500000
2026-07-21 12:40,500000,0,0,500000
2026-07-21 12:50,500000,0,0,500000
2026-07-21 13:00,500000,0,0,500000
2026-07-21 13:10,500000,0,0,500000
2026-07-21 13:20,500000,0,0,500000
2026-07-21 13:30,500000,0,0,500000
2026-07-21 13:40,500000,0,0,500000
2026-07-21 13:50,500000,0,0,500000
2026-07-21 14:00,500000,0,0,500000
2026-07-21 14:10,500000,0,0,500000
2026-07-21 14:20,500000,0,0,500000
2026-07-21 14:30,500000,0,0,500000
2026-07-21 14:40,500000,0,0,500000
2026-07-21 14:50,500000,0,0,500000
2026-07-21 15:00,500000,0,0,500000
2026-07-21 15:10,500000,0,0,500000
2026-07-21 15:20,500000,0,0,500000
2026-07-21 15:30,500000,0,0,500000
2026-07-22 09:00,500000,0,0,500000
2026-07-22 09:10,500000,0,0,500000
2026-07-22 09:20,900,497180,0,498080
2026-07-22 09:30,900,497380,0,498280
2026-07-22 09:40,900,495980,0,496880
2026-07-22 09:50,900,497500,0,498400
2026-07-22 10:00,900,498670,0,499570
2026-07-22 10:10,900,500000,0,500900
2026-07-22 10:20,900,499920,0,500820
2026-07-22 10:30,900,499010,0,499910
2026-07-22 10:40,900,500450,0,501350
2026-07-22 10:50,900,500610,0,501510
2026-07-22 11:00,900,500040,0,500940
2026-07-22 11:10,900,499790,0,500690
2026-07-22 11:20,900,498950,0,499850
2026-07-22 11:30,900,498870,0,499770
2026-07-22 11:40,900,498510,0,499410
2026-07-22 11:50,900,498510,0,499410
2026-07-22 12:00,900,498510,0,499410
2026-07-22 12:10,900,498510,0,499410
2026-07-22 12:20,900,498510,0,499410
2026-07-22 12:30,900,498510,0,499410
2026-07-22 12:40,900,498510,0,499410
2026-07-22 12:50,900,499570,0,500470
2026-07-22 13:00,900,499910,0,500810
2026-07-22 13:10,900,499490,0,500390
2026-07-22 13:20,900,499610,0,500510
2026-07-22 13:30,900,499580,0,500480
2026-07-22 13:40,900,499660,0,500560
2026-07-22 13:50,900,499730,0,500630
2026-07-22 14:00,900,499570,0,500470
2026-07-22 14:10,900,499310,0,500210
2026-07-22 14:20,900,500190,0,501090
2026-07-22 14:30,900,500090,0,500990
2026-07-22 14:40,900,500710,0,501610
2026-07-22 14:50,900,501290,0,502190
2026-07-22 15:00,900,500990,0,501890
2026-07-22 15:10,900,500090,0,500990
2026-07-22 15:20,900,499830,0,500730
2026-07-22 15:30,900,499550,0,500450
