date,cash,long_value,short_exposure,total_value
2026-06-19,378400,336300,214700,500000
2026-06-22,302100,412400,210000,504500
2026-06-23,225500,482400,209900,498000
2026-06-23,225500,482400,209900,498000
2026-06-24,429600,290800,224100,496300
2026-06-25,429600,289800,223800,495600
2026-06-26,225300,291300,18600,498000
2026-06-29,171820,357500,30320,499000
2026-06-30,72520,455900,30550,497870
2026-07-01,58240,438560,0,496800
2026-07-02,58240,437790,0,496030
2026-07-03,56370,459940,12800,503510
2026-07-06,56370,460300,12700,503970
2026-07-07,56370,464380,13400,507350
2026-07-08,56370,467380,12800,510950
2026-07-09,56370,471440,12900,514910
2026-07-10,56370,469240,12800,512810
2026-07-13,61470,458600,12800,507270
2026-07-14,58270,473200,17500,513970
2026-07-15,51730,484840,17300,519270
2026-07-16,13730,499810,0,513540
2026-07-17,13730,500650,0,514380
2026-07-20,13730,500650,0,514380
